Sun Sep 11 19:18:00 2022,56 25.8
Sun Sep 11 19:18:10 2022,56 25.8
Sun Sep 11 19:18:20 2022,55 25.8
Sun Sep 11 19:18:30 2022,55 25.8
Sun Sep 11 19:18:40 2022,54 25.8
Sun Sep 11 19:18:50 2022,54 25.8
Sun Sep 11 19:19:00 2022,54 25.8
Sun Sep 11 19:19:10 2022,54 25.3
Sun Sep 11 19:19:20 2022,54 25.3
Sun Sep 11 19:19:30 2022,54 25.3
Sun Sep 11 19:19:40 2022,54 25.3
Sun Sep 11 19:19:50 2022,54 25.3
Sun Sep 11 19:20:00 2022,54 25.3
Sun Sep 11 19:20:10 2022,54 25.3
Sun Sep 11 19:20:20 2022,54 25.3
Sun Sep 11 19:20:30 2022,54 25.3
Sun Sep 11 19:20:40 2022,54 25.3
Sun Sep 11 19:20:50 2022,54 25.3
Sun Sep 11 19:21:00 2022,54 25.3
Sun Sep 11 19:21:10 2022,54 25.3
Sun Sep 11 19:21:20 2022,54 25.3
Sun Sep 11 19:21:30 2022,54 25.3
Sun Sep 11 19:21:40 2022,54 25.3
Sun Sep 11 19:21:50 2022,55 25.3
Sun Sep 11 19:22:00 2022,55 25.3
Sun Sep 11 19:22:10 2022,55 25.3
Sun Sep 11 19:22:20 2022,55 25.3
Sun Sep 11 19:22:30 2022,55 25.3
Sun Sep 11 19:22:40 2022,56 25.3
Sun Sep 11 19:22:50 2022,56 25.3
Sun Sep 11 19:23:00 2022,56 25.3
Sun Sep 11 19:23:10 2022,56 25.3
Sun Sep 11 19:23:20 2022,56 25.3
Sun Sep 11 19:23:30 2022,56 25.3
Sun Sep 11 19:23:40 2022,56 25.3
Sun Sep 11 19:23:50 2022,55 25.3
Sun Sep 11 19:24:00 2022,55 25.3
Sun Sep 11 19:24:10 2022,55 25.3
Sun Sep 11 19:24:20 2022,55 25.3
Sun Sep 11 19:24:30 2022,55 25.3
Sun Sep 11 19:24:40 2022,54 25.3
Sun Sep 11 19:24:50 2022,54 25.3
Sun Sep 11 19:25:00 2022,54 25.3
Sun Sep 11 19:25:10 2022,54 25.3
Sun Sep 11 19:25:20 2022,55 25.3
Sun Sep 11 19:25:30 2022,56 25.3
Sun Sep 11 19:25:40 2022,56 25.3
